FaultID,Date,slip_pressure,probability,Year
Fault1,2024-12-31,0.0,0.0,2025
Fault1,2024-12-31,0.0,1.0,2025
Fault2,2024-12-31,0.0,0.0,2025
Fault2,2024-12-31,0.0,1.0,2025
Fault3,2024-12-31,0.0,0.0,2025
Fault3,2024-12-31,0.0,1.0,2025
Fault4,2024-12-31,0.0,0.0,2025
Fault4,2024-12-31,0.0,1.0,2025
Fault5,2024-12-31,0.0,0.0,2025
Fault5,2024-12-31,0.0,1.0,2025
Fault6,2024-12-31,0.0,0.0,2025
Fault6,2024-12-31,0.0,1.0,2025
Fault7,2024-12-31,0.0,0.0,2025
Fault7,2024-12-31,0.0,1.0,2025
Fault8,2024-12-31,0.0,0.0,2025
Fault8,2024-12-31,0.0,1.0,2025
Fault9,2024-12-31,0.0,0.0,2025
Fault9,2024-12-31,0.0,1.0,2025
Fault10,2024-12-31,0.0,0.0,2025
Fault10,2024-12-31,0.0,1.0,2025
