fault_id,x,y,pore_pressure_slip
Fault1,5427.636203267587,2805.8928295709748,589.8899453865953
Fault2,5668.189196166138,2796.7438729667115,846.2170013959451
Fault3,5350.3745458899675,2401.0392941536834,1210.6516249353406
Fault4,4483.181099537131,2178.3920364785527,727.3327607810049
Fault5,6832.409621483799,2088.777012967744,3231.069943953205
Fault6,5950.766312798069,2393.737513897511,1823.6326681471878
Fault7,5011.043987400872,2356.312016256268,948.4370628210986
Fault8,5188.835054541803,2789.738267771257,378.94148941894554
Fault9,6929.634039072088,2372.455091061884,2839.194226896425
Fault10,4975.350133523776,2233.0471265066167,1125.2688809261606
